State,District,year,Type,Crop,Average Max Temperature,Average Min Temp,Ground water ,precipitation,cloud cover
Bihar,BUXAR,2002,Whole Year,Sugarcane,32.85517,19.86733,4.389411765,64.56792,37.05908333
Bihar,DARBHANGA,1999,Whole Year,Sugarcane,31.90942,20.58567,2.61452381,79.932,44.23575
Bihar,DARBHANGA,2000,Whole Year,Sugarcane,31.536,20.43442,2.444,63.56,38.23958333
Bihar,DARBHANGA,2001,Whole Year,Sugarcane,31.878,20.71633,2.24,68.64308,40.06991667
Bihar,DARBHANGA,2002,Whole Year,Sugarcane,31.84858,20.33233,2.869512195,80.91908,38.86583333
Bihar,GAYA,1999,Whole Year,Sugarcane,31.81217,19.43867,3.833571429,71.99183,42.26241667
Bihar,GAYA,2000,Whole Year,Sugarcane,31.59417,19.27367,4.587142857,55.82717,36.11891667
Bihar,GAYA,2001,Whole Year,Sugarcane,31.6955,19.36075,5.121621622,59.82717,38.88158333
Bihar,GAYA,2002,Whole Year,Sugarcane,32.12267,19.41908,3.913333333,69.40025,36.79041667
Bihar,GOPALGANJ,1999,Whole Year,Sugarcane,32.79383,20.31233,2.508039216,68.6865,44.50191667
Bihar,GOPALGANJ,2000,Whole Year,Sugarcane,32.53783,20.12575,2.291052632,54.49592,37.12508333
Bihar,GOPALGANJ,2001,Whole Year,Sugarcane,32.73758,20.33042,2.126111111,62.98775,39.88791667
Bihar,GOPALGANJ,2002,Whole Year,Sugarcane,32.74608,20.07367,1.977260274,69.53817,38.78341667
Bihar,JAMUI,1999,Whole Year,Sugarcane,30.86675,19.52333,5.587619048,84.78683,44.24083333
Bihar,JAMUI,2000,Whole Year,Sugarcane,30.49975,19.36733,6.175833333,66.94225,39.31583333
Bihar,JAMUI,2001,Whole Year,Sugarcane,30.75617,19.52908,7.022962963,68.93958,41.33883333
Bihar,JAMUI,2002,Whole Year,Sugarcane,31.01033,19.33175,6.883846154,75.84525,39.766
Bihar,JEHANABAD,1999,Whole Year,Sugarcane,32.68817,20.274,2.709473684,68.49842,42.14575
Bihar,JEHANABAD,2000,Whole Year,Sugarcane,32.45233,20.1535,3.599166667,53.18808,35.59408333
Bihar,JEHANABAD,2001,Whole Year,Sugarcane,32.59242,20.24117,3.361428571,57.45842,38.29475
Bihar,JEHANABAD,2002,Whole Year,Sugarcane,32.903,20.22475,3.557368421,68.08783,36.58025
Bihar,KAIMUR (BHABUA),1999,Whole Year,Sugarcane,32.11558,19.34,4.351666667,69.35217,41.96358333
